"components/662cac0e5f555c001145e88c/_items/0/text/","Ele serve como o ponto de acesso principal para serviços e informações online"
"components/662cac0e5f555c001145e88c/_items/1/text/","Ele está restrito à gestão de e-mails"
"components/662cac0e5f555c001145e88c/_items/2/text/","Ele é uma versão digital de um shopping center"
"components/662cac0e5f555c001145e88c/_items/3/text/","Ele foi criado apenas para redes sociais"
"components/662cac0e5f555c001145e88c/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cac0e5f555c001145e88c/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cac0e5f555c001145e88c/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cac91bafa840011d9c2e1/title/","Questão 5"
"components/662cac91bafa840011d9c2e1/displayTitle/","Questão 5"
"components/662cac91bafa840011d9c2e1/body/","<p>Qual o papel principal dos aplicativos no ambiente digital?</p>"
"components/662cac91bafa840011d9c2e1/_items/0/text/","Eles foram criados para tarefas e fins específicos"
"components/662cac91bafa840011d9c2e1/_items/1/text/","Eles controlam as funções do sistema operacional"
"components/662cac91bafa840011d9c2e1/_items/2/text/","Eles servem apenas para fazer ligações"
"components/662cac91bafa840011d9c2e1/_items/3/text/","Eles não têm um papel importante na tecnologia moderna"
"components/662cac91bafa840011d9c2e1/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cac91bafa840011d9c2e1/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cac91bafa840011d9c2e1/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cad000dcb90001103ce8f/title/","Questão 6"
"components/662cad000dcb90001103ce8f/displayTitle/","Questão 6"
"components/662cad000dcb90001103ce8f/body/","<p>De que forma os aplicativos transformaram as atividades tradicionais?</p>"
"components/662cad000dcb90001103ce8f/_items/0/text/","Os alunos agora usam ferramentas digitais para fazer tarefas simples como anotações"
"components/662cad000dcb90001103ce8f/_items/1/text/","A navegação depende inteiramente de materiais impressos"
"components/662cad000dcb90001103ce8f/_items/2/text/","A criação de obras de arte está limitada aos meios tradicionais"
"components/662cad000dcb90001103ce8f/_items/3/text/","Os meios de comunicação estão restritos aos telefones tradicionais"
"components/662cad000dcb90001103ce8f/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cad000dcb90001103ce8f/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cad000dcb90001103ce8f/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb0d20dcb90001103ce90/title/","Título do novo componente"
"components/662cb0d20dcb90001103ce90/_graphic/alt/","Logomarca do curso com borda"
"components/662cb0e05f555c001145e891/title/","Título do novo componente"
"components/662cb12a387a3d0011473a82/title/","Como interage o mundo digital com o mundo analógico"
"components/662cb12a387a3d0011473a82/body/","<p>Assista ao vídeo, depois faça o exercício.</p>"
"components/662cb12a387a3d0011473a82/_timestamp/label/","Marcas de tempo"
"components/662cb12a387a3d0011473a82/_transcript/inlineTranscriptButton/","Ver transcrição"
"components/662cb12a387a3d0011473a82/_transcript/inlineTranscriptCloseButton/","Fechar"
